mode,run_name,text_completion_answered,text_completion_total,text_completion_rate,text_attention_ok,image_completion_answered,image_completion_total,image_completion_rate,image_accuracy_correct,image_accuracy_known_total,image_accuracy_rate,image_questions_all_correct,image_attention_ok,captcha_ok,overall_ok,reached_thank_you,submitted,validation_session_id,validation_submission_ts_utc,validation_match_delta_s,total_exec_steps,unique_answer_items_touched,next_click_count,submit_click_count,order_same_as_baseline,order_common_prefix_len,order_jaccard_overlap,order_sequence_ratio
unconstrained,run_66,7,9,0.7777777777777778,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,2f2ccec5414d527d915a407e469bf831,2026-02-24T18:45:55.574000+00:00,,17,17,2,1,False,10,0.6470588235294118,0.7857142857142857
unconstrained,run_67,7,9,0.7777777777777778,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,90fdb55426f92afc858233115a3fd135,2026-02-24T18:46:18.457000+00:00,,17,17,2,1,False,10,0.6470588235294118,0.7857142857142857
unconstrained,run_68,7,9,0.7777777777777778,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,5f73f3cc51a3c6f325ed48c9a21abd46,2026-02-24T18:46:40.338000+00:00,,17,17,2,1,False,10,0.6470588235294118,0.7857142857142857
unconstrained,run_69,7,9,0.7777777777777778,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,f6340e3900a258d3b54af6c258d8df92,2026-02-24T18:47:02.622000+00:00,,17,17,2,1,False,10,0.6470588235294118,0.7857142857142857
unconstrained,run_70,7,9,0.7777777777777778,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,6e56fd0577df923a3e2866c8c211c62e,2026-02-24T18:47:25.155000+00:00,,17,17,2,1,False,10,0.6470588235294118,0.7857142857142857
unconstrained,run_71,,,,,,,,,,,,,,,True,False,,,,16,16,2,0,False,10,0.6875,0.8148148148148148
unconstrained,run_72,7,9,0.7777777777777778,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,b880869b1b7775678aeaa2824e43cdf6,2026-02-24T18:48:06.985000+00:00,,25,17,2,1,False,10,0.6470588235294118,0.7857142857142857
unconstrained,run_73,7,9,0.7777777777777778,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,6b2074f884e7ae47a6948bf6d4722c3a,2026-02-24T18:48:37.984000+00:00,,37,17,2,1,False,10,0.6470588235294118,0.7857142857142857
unconstrained,run_74,7,9,0.7777777777777778,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,d4ed93155037aa454515822aab735de4,2026-02-24T18:49:00.833000+00:00,,17,17,2,1,False,10,0.6470588235294118,0.7857142857142857
unconstrained,run_75,,,,,,,,,,,,,,,True,False,,,,24,16,2,0,False,10,0.6875,0.8148148148148148
